"Label","Text","Token_Length","Avg_Token_Length"
"inciteful"," সংলাপ আসল দরক না ঝাড়ু নি জনগণ যেদিন ব হব সেদিন রক্ষীবাহিনীর মত পালি যাব ঠিক যেভাব শেখ মুজিব রাখ পালিয়েছিলেন.... ","21","5"
"political_comment"," সংবিধান কি আসমানি কিতাব? য সংশোধন ক যাবেনা?মানুষ জন্য সংবিধান এদাশ ৮০ উপর লোক চা তত্ববধায়ক সরকার অধীন নির্বাচন!কারণ এ কারে পক্ষ নেয় সুযোগ নেই!তারপর বুঝা যাব সরকার প্রতি মানুষ আস্তা অনাস্তা!এ জায়গা সরকার দুর্বলতা!!ভ পা ","35","6"
"political_comment"," সংলাপ দরক ন গুজব কান দেব না...! আর কিছুদিন পর দেখব ও কান থাকব না... ","15","4"
"hate_speech"," ঘৃনা লাগ কারণ এ প্রকৃত দেশ প্রেমিক না এ শেখ হাসিন পোষা কুত্তা কথা শুনল জ্বর আস ","16","4"
"hate_speech"," কুকুর ক মারল কুকুর আর ও বাড়ি আসেনা কিন্তু এ তোফায় ক হাছিনা এত্ত মারলো অপমান করলো তা এ নির্লজ্জ কিছু হলোনা. ","22","4"
"political_comment"," Kabir Hossain this dalal must out off politics. ","8","5"
"hate_speech"," জালাল উদদীন এ মাদ চূদ ও রাজাক চিল নাহ একজন বিগ মাষূশ এইদরন কতা বল কিবাভ আাল আ দেশ বাল চা না ","22","3"
"political_comment"," তোফায় ছাছা খোমোতা থাকল ইলভিশ সয়তান রাজনৈতিক দের হোনমার জেমোন গাদাফি ইভলিশ মেরেছিলো তা সম থাক মানুষ কাতার আস বাংলাদেশ এক গোয়ামী কর ছিরিয়া ও লিভিয়া ভানা বেননা আপোনা তো মন্ত্রী দের বিদাশ ভাড়ি গাড়ি আ আপোনা ফুট কর ছল জাব আমরাসাদোরোন জনোগন কো জাবো তা জনোগন জন্য জদি রাজনৈতি কর সংলাপ বস সমস্যা সমাদান কর ","56","5"
"political_comment"," মোহা ইসলাম ৭১ ভ সিনামা দেখছ ৭৫ র শেখ মজিব মর পর পালাইছিল এ ব কাপড় খুল সম পাবেনা জন গন আক্কা ওয়ালা বাশঁ নি রেডি আ এ ব সম মত দিব পালানোর পথ পাবেনা এখন সম আ ভাল হ যান ","41","3"
"hate_speech"," সাল পুত বুড়া বয়স তোর জুতা পিঠুনি কপাল আছে? ","9","4"
"hate_speech"," এ সারাজীবন অমানুষ র গ ","5","5"
"hate_speech"," - বুড়া সকুন ","3","3"
"hate_speech"," টাকলা শালা ","1","10"
"inciteful"," মোহাম্মদ জহির খাঁন আম বাংলাদাশ এক ঘুর্নিঝড় দেখ ছা ","9","5"
"political_comment"," সাহাজান মত জুতা পি খাইনত স জন্য বড় বড় কথা ","10","3"
"political_comment"," vote chori kora abar ko ","5","3"
"hate_speech"," এ কুকুর ক আগ ঝাড়ু দি পিটাল আ লীগ অনেক সোজা হব ","11","3"
"inciteful"," আগামী ২০৪১ সাল কথা বল ","5","4"
"political_comment"," Tuder are manus bos manina karun ture bisas gatuk bangla ","10","4"
"political_comment"," টাকলু তোফা রাজাক এ দেশ ভালো চায় না ","8","4"
"political_comment"," সংবিধান নিজে মন মত কর সাঁজি রেখ . ","8","5"
"political_comment"," Banglaer kutta tura ","3","5"
"inciteful"," প্রলাপ চল সংলাপ নির্বাসন ","3","8"
"hate_speech"," কুও কথা কেউ কান দেব না ওপাগল হ গ ","9","3"
"hate_speech"," সাল পুত বুড়া বয়স তোর জুতা পিঠুনি কপাল আছে? ","9","4"
"political_comment"," শেখ মুজিব হত্যা কর তোপাল আহমাদ ","6","4"
"political_comment"," শেখর খাই হাসিনারে৯০ খাই এখন পুরা খাইবো ","7","6"
"hate_speech"," কত ঈদ এলো গ বি এন পি বাল ডা ছিড়লো ","10","2"
"political_comment"," শুধু দল উপক হব ","4","5"
"political_comment"," বাংলাদাশ এ গুলো সব গুজব তব জীবন এ গুলো ঠিক হব না অন্যা আমল না নে হব ","17","3"
"political_comment"," এদাশ লাস কোন বিচ না এ হল আমা দেশ নিতি এখন দেখ কি করব মর না দেশ ছার যাব ","17","4"
"political_comment"," সিরাজগঞ্জ যমুন ভাঙন রোধ ২৩ বছর ৩ হাজ ৩২৫ কো টাকা বরাদ্ কাজ পানি উন্নয়ন বোর্ড বিরুদ্ধ নানা অনিয়ম দুর্নীতির অভিযোগ ","21","5"
"political_comment"," সব সিঙ্গাপুর ","2","5"
"political_comment"," সব মার খাই দল ক্ষ মতা আ কথা বলল তুমি বেয়াদব ","10","4"
"political_comment"," বাংলাদাশ এ গুলো সব গুজব তব জীবন এ গুলো ঠিক হব না অন্যা আমল না নে হব ","17","3"
"hate_speech"," কিছু কিছু আবাল সুদা জাতি বলব এ নাকি গুজব..🤔 ","9","4"
"communal_attack"," মালু পতন অনিবার্য ","3","6"
"hate_speech"," মাঘীর পোয় ড়ান্ডী ","3","5"
"communal_attack"," কাস্মির থ শুরু কর হব মালু বিরুদ্ধ যোদ্ধ ","8","5"
"political_comment"," ভারত হ ভারত আরমির উপর ইটপাটক নিক্ষেপ করল তা কি ছাড় দেবে? ","12","4"
"political_comment"," উম্ম হাবিবা molay মিথ্যা বল কাশ্মির হলো পাকিস্তান এক অংশ এ ভারতীও তা নিজে দা কর একাংশ দখল কর আ আর এইখান পাকিস্তানি আরভারতী বাহিনী কিছুদিন পর পর নানা ইসু নি ঝগ আর গোলাগু জরি পর কাস্মির মুলত পাকিস্তান কিন্তু ভারতীও এ নিজে দা কর এইখানেঅনেক ধরন বিভেদ সৃশ কর কিছু দিন পর পর য কারন এইরকম ঘটনা গু ঘট ","60","4"
"political_comment"," এক নিরপেক্ষ নির্বাচন কর মুরদ না হ করাঙ্গা ত করেঙ্গা দল সব শয়তান গু ক থাপ্পর মার বাড়ি পাঠি দে উচিত ","21","4"
"political_comment"," নির্বাচন কমিশন ভোট চোর ভোট ডাকাত আশ্র দি নির্বাচন কমিশন জেনেশুন এ কাজ কর যেখান শতভাগ মানুষ বিশ্বাস কর ইভিএম ভোট কারচুপি হব সেখান ইভিএম দেওয় কারণ কি ","27","5"
"inciteful"," মড নওশাবা জামিন পা তাল ভাসাইলো! ত পক্ষ স্বামীর ফেইসবুক ওয়াল দে স্ট্যাটাস কিছু অংশ নিচ হুবহু ","17","5"
"political_comment"," যেমন পর্ব পতন হ নীজামি কা মঘা কামরুজ্জামা সাকা চোধুরী না পাকস্তান গোলাম ওরফ আজম ও দেল্লা রাজাকার ","18","5"
"political_comment"," ধান শিশে?? ","2","5"
"political_comment"," হুম অন্য কাউ ভোট দি মুল্যবান ভোট নষ্ট কেনো কর ","9","4"
"political_comment"," কত গুলো কুকুর এক মা চি চি চি আওয়ামীলীগ এ খারাপ ","11","4"
